of course|"конечно!"|[əv] [kɔːs]
advertising|реклама|[ˈædvətaɪzɪŋ]
belt|ремень; пояс|[belt]
restaurant|ресторан|[ˈrestrɒnt]
solve|решать|[sɒlv]
solution|решение|[səˈluːʃn]
rice|рис|[raɪs]
draw|рисовать; чертить|[drɔː]
parents|родители|[ˈpeə.rənt]
birth|рождение|[bɜːθ]
Christmas|Рождество|[ˈkrɪs.məs]
socket|розетка|[ˈsɒk.ɪt]
pink|розовый|[pɪŋk]
drop|ронять; падение|[drɒp]
Russia|Россия|[ˈrʌʃə]
mouth|рот|[maʊθ]
shirt|рубашка|[ʃɜːt]
hand|рука; кисть|[hænd]
steering wheel|руль|[stɪər] [wiːl]
pen|ручка|[pen]
fish|рыба|[fɪʃ]
market|рынок|[ˈmɑːkɪt]
backpack|рюкзак|[ˈbækpæk]
with|с|[wɪð]
garden|сад|[ˈɡɑːdn]
salad|салат|[ˈsæləd]
napkin|салфетка|[ˈnæp.kɪn]
plane|самолет|[pleɪn]
sugar|сахар|[ˈʃʊɡə(r)]
wedding|свадьба|[ˈwedɪŋ]
beet|свекла|[biːt]
pork|свинина|[pɔːk]
pig|свинья|[pɪɡ]
sweater|свитер|[ˈswetə(r)]
free|свободный; бесплатный|[friː]
kind|своего рода; тип|[kaɪnd]
tonight|сегодня вечером|[təˈnaɪt]
today|сегодня|[təˈdeɪ]
now|сейчас; теперь|[naʊ]
marital status|семейное положение|[ˈmær.ɪ.təl] [ˈsteɪtəs]
seventeen|семнадцать|[ˌsevnˈtiːn]
seven|семь|[ˈsevn]
seventy|семьдесят|[ˈsevnti]
family|семья|[ˈfæməli]
September|сентябрь|[sepˈtembə(r)]
angry|сердитый|[ˈæŋɡri]
heart|сердце|[hɑːt]
grey|серый|[ɡreɪ]
sister|сестра|[ˈsɪstə(r)]
sit|сидеть|[sɪt]
strength|сила|[streŋθ]
strong|сильный; крепкий|[strɒŋ]
pretty|симпатичный; довольно|[ˈprɪti]
bruise|синяк; ушиб; ушибить|[bruːz]
say|сказать|[seɪ]
discount|скидка|[ˈdɪskaʊnt]
frying pan|сковородка|[fraɪ] [pæn]
how much|сколько + е.ч|[haʊ] [mʌtʃ]
how many|сколько + м.ч|[haʊ] [ˈmeni]
soon|скоро|[suːn]
speed|скорость|[spiːd]
sculpture|скульптура|[ˈskʌlp.tʃər]
weak|слабый|[wiːk]
sweet|сладкий|[swiːt]
consequence|следствие|[ˈkɒnsɪkwəns]
next|следующий|[nekst]
plum|слива|[plʌm]
cream|сливки; крем|[kriːm]
dictionary|словарь|[ˈdɪkʃənri]
word|слово|[wɜːd]
elephant|слон|[ˈel.ɪ.fənt]
case|случай; чехол|[keɪs]
listen|слушать|[ˈlɪsn]
hear|слышать|[hɪər]
brave|смелый|[breɪv]
death|смерть|[deθ]
laugh|смеяться|[lɑːf]
watch|смотреть; наручные часы|[wɒtʃ]
snow|снег|[snəʊ]
take off|снимать одежду|[teɪk] [ɒf]
again|снова; опять|[əˈɡen]
dog|собака|[dɒɡ]
collect|собирать|[kəˈlekt]
own|собственный; владеть|[əʊn]
event|событие|[ɪˈvent]
advice|совет|[ədˈvaɪs]
agree|соглашаться|[əˈɡriː]
agreement|соглашение; договор|[əˈɡriːmənt]
juice|сок|[dʒuːs]
salty|соленый|[ˈsɔːlti]
sun|солнце|[sʌn]
salt|соль|[sɔːlt]
match|соответствовать; матч|[mætʃ]
forty|сорок|[ˈfɔːti]
neighbor|сосед|[ˈneɪ.bər]
sauce|соус|[sɔːs]
bedroom|спальня|[ˈbedruːm]
save|спасать; сохранять|[seɪv]
thank|спасибо|[θæŋk]
sleep|спать|[sliːp]
spice|специя|[spaɪs]
back|спина; назад|[bæk]
list|список|[lɪst]
calm|спокойный|[kɑːm]
argument|спор; аргумент|[ˈɑːɡjumənt]
argue|спорить|[ˈɑːɡjuː]
ability|способность|[əˈbɪləti]
able|способный|[ˈeɪbl]
ask|спрашивать; просить|[ɑːsk]
Wednesday|среда|[ˈwenzdeɪ]
among|среди|[əˈmʌŋ]
means|средство; способ|[miːnz]
glass|стакан; стекло|[ɡlɑːs]
become|становиться|[bɪˈkʌm]
station|станция; вокзал|[ˈsteɪʃn]
old|старый|[əʊld]
wall|стена|[wɔːl]
hundred|сто|[ˈhʌndrəd]
cost|стоить|[kɒst]
table|стол|[ˈteɪbl]
stand|стоять|[stænd]
country|страна|[ˈkʌntri]
page|страница|[peɪdʒ]
strange|чужой|[streɪndʒ]
weird|странный|[wɪəd]
passion|страсть; страстность|[ˈpæʃ.ən]
fear|страх; бояться|[fɪə(r)]
building|строительство|[ˈbɪldɪŋ]
build|строить|[bɪld]
student|студент|[ˈstjuːdnt]
chair|стул|[tʃeə(r)]
stairs|ступеньки; лестница|[steər]
Saturday|суббота|[ˈsætədeɪ]
bag|сумка|[bæɡ]
soup|суп|[suːp]
happy|счастливый|[ˈhæpi]
happiness|счастье|[ˈhæp.i.nəs]
account|счет банковский|[əˈkaʊnt]
bill|счёт|[bɪl]
count|считать; подсчитывать|[kaʊnt]
son|сын|[sʌn]
cheese|сыр|[tʃiːz]
full|сытый; полный|[fʊl]
so|так; поэтому|[səʊ]
also|также|[ˈɔːlsəʊ]
such|такой|[sʌtʃ]
there|там; туда|[ðeə(r)]
customs|таможня|[ˈkʌstəmz]
dance|танцевать|[dɑːns]
dish|блюдо|[dɪʃ]
plate|тарелка|[pleɪt]
hard|твёрдый; жесткий|[hɑːd]
your|твой; ваш|[jɔː(r)]
curd|творог|[kɜːd]
those|те|[ðəʊz]
theater|театр|[ˈθɪə.tər]
TV|телевизор|[ˌtiːˈviː]
phone|телефон|[fəʊn]
body|тело|[ˈbɒdi]
dark|тёмный|[dɑːk]
temperature|температура|[ˈtemprətʃə(r)]
warm|тёплый; тепло|[wɔːm]
test|тест; испытание|[test]
father-in-law|тесть|[ˈfɑːðə(r)] [ɪn] [lɔː]
copybook|тетрадь|[ˈkɒp.i.bʊk]
aunt|тетя|[ɑːnt]
quiet|тихий|[ˈkwaɪət]
too|тоже; слишком|[tuː]
thick|густой|[θɪk]
fat|толстый; жирный; жир|[fæt]
only|только|[ˈəʊnli]
slim|тонкий; стройный|[slɪm]
thin|тонкий|[θɪn]
sink|тонуть; погружаться|[sɪŋk]
cake|торт|[keɪk]
that|тот; что (союз)|[ðæt]
exactly|точно|[ɪɡˈzæktli]
grass|трава|[ɡrɑːs]
tram|трамвай|[træm]
transport|транспорт|[ˈtrænspɔːt]
third|третий|[θɜːd]
three|три|[θriː]
thirty|тридцать|[ˈθɜːti]
thirteen|тринадцать|[ˌθɜːˈtiːn]
path|тропа|[pɑːθ]
sidewalk|тротуар|[ˈsaɪd.wɔːk]
pipe|труба; трубка|[paɪp]
difficult|трудный; тяжелый|[ˈdɪfɪkəlt]
hard-working|трудолюбивый|[ˌhɑːdˈwɜː.kɪŋ]
coward|трусливый; трус|[ˈkaʊ.əd]
toilet|туалет|[ˈtɔɪlət]
fog|туман|[fɒɡ]
blunt|тупой (нож; человек)|[blʌnt]
you|ты; вы|[ju]
pumpkin|тыква|[ˈpʌmp.kɪn]
thousand|тысяча|[ˈθaʊznd]
heavy|тяжёлый|[ˈhevi]
persuade|убеждать|[pəˈsweɪd]
sure|уверенный|[ʃʊə(r)]
hit|ударять|[hɪt]
luck|удача|[lʌk]
amazing|удивительный|[əˈmeɪzɪŋ]
surprise|удивлять; сюрприз|[səˈpraɪz]
comfortable|удобный; уютный|[ˈkʌmftəbl]
pleasure|удовольствие|[ˈpleʒə(r)]
terrible|ужасный|[ˈterəbl]
already|уже|[ɔːlˈredi]
dinner|ужин|[ˈdɪnə(r)]
narrow|узкий|[ˈnærəʊ]
street|улица|[striːt]
smile|улыбка|[smaɪl]
die|умирать|[smaɪl]
smart|умный|[smɑːt]
university|университет|[ˌjuːnɪˈvɜːsəti]
exercise|упражнение|[ˈeksəsaɪz]
ugly|уродливый|[ˈʌɡli]
lesson|урок|[ˈlesn]
effort|усилие|[ˈlesn]
success|успех|[səkˈses]
tired|усталый|[ˈtaɪəd]
mustache|усы|[mʊˈstɑːʃ]
duck|утка|[dʌk]
morning|утро|[ˈmɔːnɪŋ]
iron|утюг; железо|[ˈaɪən]
ear|ухо|[ɪə(r)]
teacher|учитель|[ˈtiːtʃə(r)]
learn|учить(ся)|[lɜːn]
teach|учить; обучать|[tiːtʃ]
study|изучение|[ˈstʌdi]
torch|факел|[tɔːtʃ]
surname|фамилия|[ˈsɜːneɪm]
February|февраль|[ˈfebruəri]
film|фильм; пленка|[fɪlm]
purple|фиолетовый; пурпурный|[ˈpɜːpl]
photo|фото|[ˈfəʊtəʊ]
camera|фотоаппарат|[ˈkæmərə]
fruit|фрукт|[fruːt]
pound|фунт|[paʊnd]
t-shirt|футболка|[tʃɜːt]
bread|хлеб|[bred]
fridge|холодильник|[frɪdʒ]
cold|холодно|[kəʊld]
single|холостой, незамужняя|[ˈsɪŋɡl]
good|хороший; добрый|[ɡʊd]
well|хорошо; колодец|[wel]
want|хотеть|[wɒnt]
keep|хранить; держать|[kiːp]
artist|художник|[ˈɑːtɪst]
worst|худший|[wɜːst]
worse|хуже; более плохой|[wɜːs]
color|цвет|[ˈkʌl.ər]
flower|цветок|[ˈflaʊə(r)]
goal|цель; гол|[ɡəʊl]
price|цена|[praɪs]
center|центр|[ˈsen.tər]
church|церковь|[tʃɜːtʃ]
chicken|цыпленок|[ˈtʃɪkɪn]
tip|чаевые|[tɪp]
tea|чай|[tiː]
kettle|чайник; котел|[ˈket.l̩]
hour|час|[ˈaʊə(r)]
often|часто|[ˈɒfn]
clock|часы|[klɒk]
cup|чашка|[kʌp]
suitcase|чемодан|[ˈsuːtkeɪs]
through|через|[θruː]
black|чёрный|[blæk]
garlic|чеснок|[ˈɡɑː.lɪk]
honest|честный|[ˈɒnɪst]
Thursday|четверг|[ˈθɜːzdeɪ]
fourth|четвертый|[fɔːθ]
four|четыре|[fɔː(r)]
fourteen|четырнадцать|[ˌfɔːˈtiːn]
number|число; номер|[ˈnʌmbə(r)]
clean|чистый; чистить|[kliːn]
read|читать|[riːd]
sneeze|чихать|[sniːz]
something|что нибудь; нечто|[ˈsʌmθɪŋ]
what|что; какой|[wɒt]
anything|что-нибудь; все|[ˈeniθɪŋ]
feeling|чувство|[ˈfiːlɪŋ]
feel|чувствовать|[fiːl]
miracle|чудо|[ˈmɪr.ɪ.kl̩]
stockings|чулки|[ˈstɒk.ɪŋ]
step|шаг; ступать|[step]
cap|шапка; кепка|[kæp]
scarf|шарф|[skɑːf]
sixteen|шестнадцать|[ˌsɪksˈtiːn]
six|шесть|[sɪks]
sixty|шестьдесят|[ˈsɪksti]
neck|шея|[nek]
wide|широкий|[waɪd]
cabinet|шкаф|[ˈkæbɪnət]
school|школа|[skuːl]
pupil|школьник; ученик|[ˈpjuːpl]
hat|шляпа|[hæt]
chocolate|шоколад|[ˈtʃɒklət]
shorts|шорты|[ʃɔːts]
noisy|шумный|[ˈnɔɪzi]
joke|шутка|[dʒəʊk]
cheek|щека|[tʃiːk]
brush|щетка; кисть|[brʌʃ]
these|эти|[ðiːz]
this|этот|[ðɪs]
skirt|юбка|[skɜːt]
I|я|[aɪ]
apple|яблоко|[ˈæp.l̩]
lamb|ягненок|[læm]
berry|ягода|[ˈber.i]
language|язык|[ˈlæŋɡwɪdʒ]
egg|яйцо|[eɡ]
January|январь|[ˈdʒænjuəri]
